Id|Name|NameAffix|Owner|LastVariant|DefaultVariant|TypeVariant|TypeDescription|TypeType|TypeSeats|TypeRigging|TypeCoxing|AllowedGroupIdList|MaxNotInGroup|RequiredGroupId|OnlyWithBoatCaptain|Manufacturer|Model|MaxCrewWeight|ManufactionDate|SerialNo|PurchaseDate|PurchasePrice|SellingDate|SellingPrice|PurchasePriceCurrency|InsuranceValue|DefaultCrewId|DefaultSessionType|DefaultDestinationId|ExcludeFromStatistics|FreeUse1|FreeUse2|FreeUse3|EfbId|ValidFrom|InvalidFrom|Invisible|Deleted|ChangeCount|LastModified
80a10413-2685-402f-9484-9405c69d4e8b|Marie - Therese|WSV Bootshütte|Anselm|1|1|1|~|Rennboot|Achter|Riemen|mit Stm.||||||||||||||||||||||||1604185200000|9223372036854775807|||2|1618330640236
8acd060b-5dcd-4f54-b403-9954282af669|Luggy|||1|1|1|~|Rennboot|Einer|Skull|ohne Stm.||||||||||||||||||||||||1604185200000|9223372036854775807|||2|1618330552133
8d0e9492-42d6-4fac-b356-9d38dec854f6|Wolf|||1|1|1|~|Rennboot|Doppelvierer|Skull|mit Stm.||||||||||||||||||||||||1604185200000|9223372036854775807|||2|1618332730747
98649686-002a-4c20-8d2d-7e4557562ba8|20er|||1|1|1|~|Rennboot|Einer|Skull|ohne Stm.||||||||||||||||||||||||1604185200000|9223372036854775807|||4|1618328411620
99a049d4-b346-4db1-a5a9-e0108813d590|Anna& Niki|Schwimmende Bootshalle|Anselm|1|1|1|~|Rennboot|Zweier|Skull|ohne Stm.||||||||||||||||||||||||1604185200000|9223372036854775807|||2|1618329216260
9a7bbc6e-a8d4-4fd3-967d-fdf3f71ea4a6|Montrial|WSV Anbau||1|1|1|Holzboot|Rennboot|Einer|Skull|ohne Stm.||||||||||||||||||||||||1604185200000|9223372036854775807|||2|1618330877294
9dba0eec-88c8-44d3-94c1-b6ec205da8e2|Silberpfeil|Schwimmende Bootshalle||1|1|1|~|Rennboot|Einer|Skull|ohne Stm.||||||||||||||||||||||||1604185200000|9223372036854775807|||2|1618332354606
9e424c3d-9bdc-4237-addd-300a53c65678|Hartl Privat|WSV Bootshütte|Doris Hartl|1|1|1|~|Rennboot|Einer|Skull|ohne Stm.||||||||||||||||||||||||1604185200000|9223372036854775807|||2|1618330048792
9fc0ec50-0f4a-48f3-a6bf-90438cc2c232|Andrea|Schwimmende Bootshalle|WSV|1|1|1|~|Rennboot|Vierer|Skull|ohne Stm.||||||||||||||||||||||||1604185200000|9223372036854775807|||2|1618329127595
a3f7d06c-15f3-4cee-b510-35058b94a2cd|ON Filippi|Schwimmende Bootshalle|Anselm|1|1|1|~|Rennboot|Doppelzweier|Skull|ohne Stm.||||||||||||||||||||||||1604185200000|9223372036854775807|||2|1618331255502
aca3008e-f232-4f53-a561-c2d00961a4e0|Lisa|Schwimmende Bootshalle||1|1|1|~|Rennboot|Einer|Skull|ohne Stm.||||||||||||||||||||||||1604185200000|9223372036854775807|||2|1618330376663
ad90eb9e-b074-4cb6-bcaf-7d5e703b0c1f|Rudi|WSV Anbau||1|1|1|~|Rennboot|Doppelzweier|Skull|ohne Stm.||||||||||||||||||||||||1604185200000|9223372036854775807|||2|1618332111970
ba8795e3-955d-418d-bc9e-7c4162c9bd00|Speedy|WSV Anbau||1|1|1|~|Rennboot|Einer|Skull|ohne Stm.||||||||||||||||||||||||1604185200000|9223372036854775807|||2|1618332459290
